Date,Type,Subgroup,Continued claims
01/05/2019,Continued claims by age,Under 20,235
01/12/2019,Continued claims by age,Under 20,297
01/19/2019,Continued claims by age,Under 20,287
01/26/2019,Continued claims by age,Under 20,274
02/02/2019,Continued claims by age,Under 20,273
02/09/2019,Continued claims by age,Under 20,265
02/16/2019,Continued claims by age,Under 20,272
02/23/2019,Continued claims by age,Under 20,275
03/02/2019,Continued claims by age,Under 20,269
03/09/2019,Continued claims by age,Under 20,256
03/16/2019,Continued claims by age,Under 20,243
03/23/2019,Continued claims by age,Under 20,228
03/30/2019,Continued claims by age,Under 20,213
04/06/2019,Continued claims by age,Under 20,195
04/13/2019,Continued claims by age,Under 20,204
04/20/2019,Continued claims by age,Under 20,252
04/27/2019,Continued claims by age,Under 20,177
05/04/2019,Continued claims by age,Under 20,167
05/11/2019,Continued claims by age,Under 20,158
05/18/2019,Continued claims by age,Under 20,170
05/25/2019,Continued claims by age,Under 20,173
06/01/2019,Continued claims by age,Under 20,170
06/08/2019,Continued claims by age,Under 20,175
06/15/2019,Continued claims by age,Under 20,177
06/22/2019,Continued claims by age,Under 20,182
06/29/2019,Continued claims by age,Under 20,179
07/06/2019,Continued claims by age,Under 20,182
07/13/2019,Continued claims by age,Under 20,179
07/20/2019,Continued claims by age,Under 20,175
07/27/2019,Continued claims by age,Under 20,181
08/03/2019,Continued claims by age,Under 20,178
08/10/2019,Continued claims by age,Under 20,175
08/17/2019,Continued claims by age,Under 20,162
08/24/2019,Continued claims by age,Under 20,148
08/31/2019,Continued claims by age,Under 20,143
09/07/2019,Continued claims by age,Under 20,136
09/14/2019,Continued claims by age,Under 20,148
09/21/2019,Continued claims by age,Under 20,132
09/28/2019,Continued claims by age,Under 20,130
10/05/2019,Continued claims by age,Under 20,129
10/12/2019,Continued claims by age,Under 20,131
10/19/2019,Continued claims by age,Under 20,127
10/26/2019,Continued claims by age,Under 20,116
11/02/2019,Continued claims by age,Under 20,132
11/09/2019,Continued claims by age,Under 20,141
11/16/2019,Continued claims by age,Under 20,146
11/23/2019,Continued claims by age,Under 20,154
11/30/2019,Continued claims by age,Under 20,150
12/07/2019,Continued claims by age,Under 20,161
12/14/2019,Continued claims by age,Under 20,188
12/21/2019,Continued claims by age,Under 20,205
12/28/2019,Continued claims by age,Under 20,231
01/04/2020,Continued claims by age,Under 20,236
01/11/2020,Continued claims by age,Under 20,263
01/18/2020,Continued claims by age,Under 20,263
01/25/2020,Continued claims by age,Under 20,267
02/01/2020,Continued claims by age,Under 20,251
02/08/2020,Continued claims by age,Under 20,244
02/15/2020,Continued claims by age,Under 20,242
02/22/2020,Continued claims by age,Under 20,225
02/29/2020,Continued claims by age,Under 20,223
03/07/2020,Continued claims by age,Under 20,221
03/14/2020,Continued claims by age,Under 20,300
03/21/2020,Continued claims by age,Under 20,2926
03/28/2020,Continued claims by age,Under 20,5194
04/04/2020,Continued claims by age,Under 20,6826
04/11/2020,Continued claims by age,Under 20,8054
04/18/2020,Continued claims by age,Under 20,9027
04/25/2020,Continued claims by age,Under 20,9625
05/02/2020,Continued claims by age,Under 20,10558
05/09/2020,Continued claims by age,Under 20,10844
05/16/2020,Continued claims by age,Under 20,11088
05/23/2020,Continued claims by age,Under 20,11196
05/30/2020,Continued claims by age,Under 20,10807
06/06/2020,Continued claims by age,Under 20,10257
06/13/2020,Continued claims by age,Under 20,9928
06/20/2020,Continued claims by age,Under 20,9557
06/27/2020,Continued claims by age,Under 20,9230
