DATE,BOGMBASE
1959-01-01,50500.0
1959-02-01,49800.0
1959-03-01,49700.0
1959-04-01,50100.0
1959-05-01,50100.0
1959-06-01,50300.0
1959-07-01,50800.0
1959-08-01,50700.0
1959-09-01,50700.0
1959-10-01,50700.0
1959-11-01,50900.0
1959-12-01,51500.0
1960-01-01,50700.0
1960-02-01,49600.0
1960-03-01,49500.0
1960-04-01,49700.0
1960-05-01,49700.0
1960-06-01,50000.0
1960-07-01,50500.0
1960-08-01,50300.0
1960-09-01,49900.0
1960-10-01,50100.0
1960-11-01,50300.0
1960-12-01,49800.0
1961-01-01,49100.0
1961-02-01,48400.0
1961-03-01,48400.0
1961-04-01,48500.0
1961-05-01,48500.0
1961-06-01,48900.0
1961-07-01,49200.0
1961-08-01,49300.0
1961-09-01,49600.0
1961-10-01,50000.0
1961-11-01,50500.0
1961-12-01,51300.0
1962-01-01,50600.0
1962-02-01,49800.0
1962-03-01,50000.0
1962-04-01,50400.0
1962-05-01,50500.0
1962-06-01,50900.0
1962-07-01,51300.0
1962-08-01,51200.0
1962-09-01,51300.0
1962-10-01,51600.0
1962-11-01,51300.0
1962-12-01,52300.0
1963-01-01,51600.0
1963-02-01,51000.0
1963-03-01,51200.0
1963-04-01,51500.0
1963-05-01,51700.0
1963-06-01,52200.0
1963-07-01,52800.0
1963-08-01,52600
1963-09-01,52900.0
1963-10-01,53100.0
1963-11-01,53800.0
1963-12-01,54900.0
1964-01-01,54200.0
1964-02-01,53500.0
1964-03-01,53800.0
1964-04-01,54100.0
1964-05-01,54300.0
1964-06-01,54900.0
1964-07-01,55400.0
1964-08-01,55400.0
1964-09-01,55900.0
1964-10-01,56200.0
1964-11-01,56800.0
1964-12-01,57700.0
1965-01-01,57100.0
1965-02-01,56500.0
1965-03-01,56700.0
1965-04-01,57100.0
1965-05-01,57200.0
1965-06-01,57800.0
1965-07-01,58400.0
1965-08-01,58200.0
1965-09-01,58600.0
1965-10-01,59100.0
1965-11-01,59600.0
1965-12-01,61000.0
1966-01-01,60500.0
1966-02-01,59800.0
1966-03-01,59900.0
1966-04-01,60500.0
1966-05-01,60600.0
1966-06-01,61100.0
1966-07-01,62100.0
1966-08-01,61700.0
1966-09-01,62400.0
1966-10-01,62600.0
1966-11-01,63000.0
1966-12-01,64200.0
1967-01-01,63800.0
1967-02-01,63300.0
1967-03-01,63200.0
1967-04-01,63300.0
1967-05-01,63400.0
1967-06-01,64000.0
1967-07-01,64800.0
1967-08-01,64700.0
1967-09-01,65200.0
1967-10-01,65900.0
1967-11-01,66500.0
1967-12-01,67800.0
1968-01-01,67700.0
1968-02-01,67200.0
1968-03-01,67500.0
1968-04-01,68000.0
1968-05-01,68100.0
1968-06-01,68900.0
1968-07-01,69700
1968-08-01,69900.0
1968-09-01,70000.0
1968-10-01,70800.0
1968-11-01,71700.0
1968-12-01,73100.0
1969-01-01,72900.0
1969-02-01,72000.0
1969-03-01,71800.0
1969-04-01,72400.0
1969-05-01,73400.0
1969-06-01,73500.0
1969-07-01,73700.0
1969-08-01,73800.0
1969-09-01,73800.0
1969-10-01,74400.0
1969-11-01,75600.0
1969-12-01,76800.0
1970-01-01,76400.0
1970-02-01,75200.0
1970-03-01,75300.0
1970-04-01,76300.0
1970-05-01,76600.0
1970-06-01,76900
1970-07-01,78000.0
1970-08-01,78200.0
1970-09-01,78700.0
1970-10-01,78700.0
1970-11-01,79500.0
1970-12-01,81000.0
1971-01-01,81200.0
1971-02-01,80600.0
1971-03-01,80800.0
1971-04-01,81600.0
1971-05-01,82400.0
1971-06-01,82900.0
1971-07-01,84200.0
1971-08-01,84100.0
1971-09-01,84400.0
1971-10-01,84700.0
1971-11-01,85500.0
1971-12-01,86800.0
1972-01-01,87200.0
1972-02-01,86100.0
1972-03-01,86700.0
1972-04-01,87900.0
1972-05-01,88500.0
1972-06-01,88900.0
1972-07-01,90100.0
1972-08-01,90100.0
1972-09-01,90200.0
1972-10-01,91400.0
1972-11-01,90500.0
1972-12-01,91400.0
1973-01-01,91700.0
1973-02-01,90300.0
1973-03-01,91100.0
1973-04-01,92600.0
1973-05-01,93100.0
1973-06-01,93700.0
1973-07-01,95600.0
1973-08-01,95800.0
1973-09-01,96200.0
1973-10-01,97500.0
1973-11-01,98300.0
1973-12-01,100100.0
1974-01-01,100400.0
1974-02-01,99100.0
1974-03-01,99600.0
1974-04-01,101700.0
1974-05-01,102800.0
1974-06-01,103600.0
1974-07-01,105100.0
1974-08-01,105000.0
1974-09-01,105300.0
1974-10-01,105700.0
