DATE,CPIAUCSL_PC1,UNRATE,FEDFUNDS
1948-01-01,10.24209,3.4,.
1948-02-01,9.48196,3.8,.
1948-03-01,6.81818,4.0,.
1948-04-01,8.27273,3.9,.
1948-05-01,9.38497,3.5,.
1948-06-01,9.37500,3.6,.
1948-07-01,9.76158,3.6,.
1948-08-01,9.06250,3.9,.
1948-09-01,6.65499,3.8,.
1948-10-01,6.11087,3.7,.
1948-11-01,4.77016,3.8,.
1948-12-01,2.73387,4.0,.
1949-01-01,1.39358,4.3,.
1949-02-01,1.01394,4.7,.
1949-03-01,1.74468,5.0,.
1949-04-01,0.41982,5.3,.
1949-05-01,-0.41649,6.1,.
1949-06-01,-0.95238,6.2,.
1949-07-01,-2.86885,6.7,.
1949-08-01,-2.98813,6.8,.
1949-09-01,-2.50411,6.6,.
1949-10-01,-2.63266,7.9,.
1949-11-01,-1.90397,6.4,.
1949-12-01,-1.82952,6.6,.
1950-01-01,-2.08247,6.5,.
1950-02-01,-1.25471,6.4,.
1950-03-01,-1.12923,6.3,.
1950-04-01,-1.12876,5.8,.
1950-05-01,-0.58553,5.5,.
1950-06-01,-0.16722,5.4,.
1950-07-01,1.56118,5.0,.
1950-08-01,2.10970,4.5,.
1950-09-01,2.48421,4.4,.
1950-10-01,3.50655,4.2,.
1950-11-01,3.79747,4.2,.
1950-12-01,5.80263,4.3,.
1951-01-01,7.95406,3.7,.
1951-02-01,9.40280,3.4,.
1951-03-01,9.47547,3.4,.
1951-04-01,9.59831,3.1,.
1951-05-01,9.33950,3.0,.
1951-06-01,8.58459,3.2,.
1951-07-01,7.64437,3.1,.
1951-08-01,6.85950,3.1,.
1951-09-01,6.94330,3.3,.
1951-10-01,6.77551,3.5,.
1951-11-01,6.99187,3.5,.
1951-12-01,5.96477,3.1,.
1952-01-01,4.21592,3.2,.
1952-02-01,2.24545,3.1,.
1952-03-01,1.97063,2.9,.
1952-04-01,2.08333,2.9,.
1952-05-01,1.84686,3.0,.
1952-06-01,2.31392,3.0,.
1952-07-01,2.97183,3.2,.
1952-08-01,3.20959,3.4,.
1952-09-01,2.30503,3.1,.
1952-10-01,2.02599,3.0,.
1952-11-01,1.40578,2.8,.
1952-12-01,0.90669,2.7,.
1953-01-01,0.71834,2.9,.
1953-02-01,0.68156,2.6,.
1953-03-01,0.90944,2.6,.
1953-04-01,0.86924,2.7,.
1953-05-01,0.86891,2.5,.
1953-06-01,0.90464,2.5,.
1953-07-01,0.41229,2.6,.
1953-08-01,0.59948,2.7,.
1953-09-01,0.97634,2.9,.
1953-10-01,0.97415,3.1,.
1953-11-01,0.59948,3.5,.
1953-12-01,0.59903,4.5,.
1954-01-01,1.12613,4.9,.
1954-02-01,1.50432,5.2,.
1954-03-01,1.12655,5.7,.
1954-04-01,0.63694,5.9,.
1954-05-01,0.86142,5.9,.
1954-06-01,0.63504,5.6,.
1954-07-01,0.26129,5.8,0.80
1954-08-01,0.00000,6.0,1.22
1954-09-01,-0.29751,6.1,1.07
1954-10-01,-0.85343,5.7,0.85
1954-11-01,-0.26071,5.3,0.83
1954-12-01,-0.37216,5.0,1.28
1955-01-01,-0.63103,4.9,1.39
1955-02-01,-0.62986,4.7,1.29
1955-03-01,-0.51987,4.6,1.35
1955-04-01,-0.26061,4.7,1.43
1955-05-01,-0.59413,4.3,1.43
1955-06-01,-0.85375,4.2,1.64
1955-07-01,-0.37230,4.0,1.68
1955-08-01,-0.48417,4.2,1.96
1955-09-01,0.14920,4.1,2.18
1955-10-01,0.37425,4.3,2.24
1955-11-01,0.37341,4.2,2.35
1955-12-01,0.37355,4.2,2.48
1956-01-01,0.22413,4.0,2.45
1956-02-01,0.14914,3.9,2.50
1956-03-01,0.37327,4.2,2.50
1956-04-01,0.52258,4.0,2.62
1956-05-01,0.97124,4.3,2.75
1956-06-01,1.64732,4.3,2.71
1956-07-01,1.98057,4.4,2.75
1956-08-01,2.20808,4.1,2.73
1956-09-01,1.86220,3.9,2.95
1956-10-01,2.57271,3.9,2.96
1956-11-01,2.34375,4.3,2.88
1956-12-01,2.82843,4.2,2.94
1957-01-01,3.13082,4.2,2.84
1957-02-01,3.49963,3.9,3.00
1957-03-01,3.60729,3.7,2.96
1957-04-01,3.71333,3.9,3.00
1957-05-01,3.58861,4.1,3.00
1957-06-01,3.53591,4.3,3.00
1957-07-01,3.29791,4.2,2.99
1957-08-01,3.55181,4.1,3.24
1957-09-01,3.54662,4.4,3.47
1957-10-01,2.94438,4.5,3.50
1957-11-01,3.27154,5.1,3.28
1957-12-01,3.04017,5.2,2.98
1958-01-01,3.50560,5.8,2.72
1958-02-01,3.23741,6.4,1.67
1958-03-01,3.62527,6.7,1.20
1958-04-01,3.61618,7.4,1.26
1958-05-01,3.35714,7.4,0.63
1958-06-01,2.84596,7.3,0.93
1958-07-01,2.48315,7.5,0.68
1958-08-01,2.33380,7.4,1.53
1958-09-01,2.08333,7.1,1.76
1958-10-01,2.08333,6.7,1.80
1958-11-01,1.90074,6.2,2.27
1958-12-01,1.75623,6.2,2.42
1959-01-01,1.29190,6.0,2.48
1959-02-01,1.04530,5.9,2.43
1959-03-01,0.34638,5.6,2.80
1959-04-01,0.13822,5.2,2.96
1959-05-01,0.34554,5.1,2.90
1959-06-01,0.69180,5.0,3.39
1959-07-01,0.89997,5.1,3.47
1959-08-01,0.82930,5.2,3.50
1959-09-01,1.17606,5.5,3.76
1959-10-01,1.52196,5.7,3.98
1959-11-01,1.38169,5.8,4.00
1959-12-01,1.51881,5.3,3.99
1960-01-01,1.24095,5.2,3.99
1960-02-01,1.41379,4.8,3.97
1960-03-01,1.51881,5.4,3.84
1960-04-01,1.93237,5.2,3.92
1960-05-01,1.82507,5.1,3.85
1960-06-01,1.71762,5.4,3.32
1960-07-01,1.37221,5.5,3.23
1960-08-01,1.47361,5.6,2.98
1960-09-01,1.23077,5.5,2.60
1960-10-01,1.36286,6.1,2.47
1960-11-01,1.46508,6.1,2.44
1960-12-01,1.36008,6.6,1.98
1961-01-01,1.60027,6.6,1.45
1961-02-01,1.46209,6.9,2.54
1961-03-01,1.46209,6.9,2.02
1961-04-01,0.91401,7.0,1.49
1961-05-01,0.91309,7.1,1.98
1961-06-01,0.77676,6.9,1.73
1961-07-01,1.25212,7.0,1.17
1961-08-01,1.11449,6.6,2.00
1961-09-01,1.24958,6.7,1.88
1961-10-01,0.77311,6.5,2.26
1961-11-01,0.67159,6.1,2.61
1961-12-01,0.67092,6.0,2.33
1962-01-01,0.67024,5.8,2.15
1962-02-01,0.90483,5.5,2.37
1962-03-01,1.10590,5.6,2.85
1962-04-01,1.34183,5.6,2.78
1962-05-01,1.34048,5.5,2.36
1962-06-01,1.23995,5.5,2.68
1962-07-01,1.00267,5.4,2.71
1962-08-01,1.13560,5.7,2.93
1962-09-01,1.46765,5.6,2.90
1962-10-01,1.33422,5.4,2.90
1962-11-01,1.33422,5.7,2.94
1962-12-01,1.23292,5.5,2.93
1963-01-01,1.33156,5.7,2.92
1963-02-01,1.22883,5.9,3.00
1963-03-01,1.12695,5.7,2.98
1963-04-01,0.89374,5.7,2.90
1963-05-01,0.89286,5.9,3.00
1963-06-01,1.32406,5.6,2.99
1963-07-01,1.55526,5.6,3.02
1963-08-01,1.55218,5.4,3.49
1963-09-01,0.98619,5.5,3.48
1963-10-01,1.21791,5.5,3.50
1963-11-01,1.31666,5.7,3.48
1963-12-01,1.64582,5.5,3.38
1964-01-01,1.64258,5.6,3.48
1964-02-01,1.41076,5.4,3.48
1964-03-01,1.40937,5.4,3.43
1964-04-01,1.54199,5.3,3.47
1964-05-01,1.54048,5.1,3.50
1964-06-01,1.30676,5.2,3.50
1964-07-01,1.07527,4.9,3.42
1964-08-01,0.97561,5.0,3.50
1964-09-01,1.17188,5.1,3.45
1964-10-01,1.20325,5.1,3.36
1964-11-01,1.39701,4.8,3.52
1964-12-01,1.19819,5.0,3.85
1965-01-01,1.09890,4.9,3.90
1965-02-01,1.19702,5.1,3.98
1965-03-01,1.19586,4.7,4.05
1965-04-01,1.38934,4.8,4.09
1965-05-01,1.61394,4.6,4.10
1965-06-01,1.93486,4.6,4.05
1965-07-01,1.80529,4.4,4.09
1965-08-01,1.61031,4.4,4.12
1965-09-01,1.73745,4.3,4.02
1965-10-01,1.70308,4.2,4.08
1965-11-01,1.73021,4.1,4.10
1965-12-01,1.92000,4.0,4.32
1966-01-01,1.91816,4.0,4.42
1966-02-01,2.55754,3.8,4.60
1966-03-01,2.77866,3.8,4.66
1966-04-01,2.86807,3.8,4.67
1966-05-01,2.76366,3.9,4.90
1966-06-01,2.43594,3.8,5.17
1966-07-01,2.75491,3.8,5.30
1966-08-01,3.48653,3.8,5.53
1966-09-01,3.57369,3.7,5.40
1966-10-01,3.79147,3.7,5.53
1966-11-01,3.55906,3.6,5.76
1966-12-01,3.35950,3.8,5.40
1967-01-01,3.19950,3.9,4.94
1967-02-01,2.86783,3.8,5.00
1967-03-01,2.54817,3.8,4.53
1967-04-01,2.54027,3.8,4.05
1967-05-01,2.31839,3.8,3.94
1967-06-01,2.84126,3.9,3.98
1967-07-01,2.92758,3.8,3.79
1967-08-01,2.60337,3.8,3.90
1967-09-01,2.59542,3.8,3.99
1967-10-01,2.58752,4.0,3.88
1967-11-01,3.10219,3.9,4.13
1967-12-01,3.28068,3.8,4.51
1968-01-01,3.64742,3.7,4.61
1968-02-01,3.63636,3.8,4.71
1968-03-01,3.93939,3.7,5.05
1968-04-01,3.92749,3.5,5.76
1968-05-01,4.22961,3.5,6.12
1968-06-01,4.20420,3.7,6.07
1968-07-01,4.49102,3.7,6.03
1968-08-01,4.47761,3.5,6.03
1968-09-01,4.46429,3.4,5.78
1968-10-01,4.74777,3.4,5.91
1968-11-01,4.42478,3.4,5.82
1968-12-01,4.70588,3.4,6.02
1969-01-01,4.69208,3.4,6.30
1969-02-01,4.67836,3.4,6.61
1969-03-01,5.24781,3.4,6.79
1969-04-01,5.52326,3.4,7.41
1969-05-01,5.50725,3.4,8.67
1969-06-01,5.47550,3.5,8.90
1969-07-01,5.44413,3.5,8.61
1969-08-01,5.42857,3.5,9.19
