DATE,PCEC96
2002-01-01,9004.4
2002-02-01,9040.1
2002-03-01,9038.2
2002-04-01,9086.5
2002-05-01,9051.4
2002-06-01,9081.8
2002-07-01,9142.0
2002-08-01,9155.3
2002-09-01,9112.9
2002-10-01,9150.1
2002-11-01,9176.2
2002-12-01,9236.3
2003-01-01,9235.0
2003-02-01,9205.2
2003-03-01,9258.1
2003-04-01,9301.9
2003-05-01,9331.8
2003-06-01,9381.8
2003-07-01,9424.1
2003-08-01,9507.6
2003-09-01,9479.9
2003-10-01,9495.2
2003-11-01,9549.7
2003-12-01,9562.3
2004-01-01,9593.4
2004-02-01,9612.9
2004-03-01,9667.7
2004-04-01,9659.9
2004-05-01,9710.8
2004-06-01,9660.9
2004-07-01,9745.7
2004-08-01,9781.8
2004-09-01,9845.0
2004-10-01,9868.2
2004-11-01,9885.9
2004-12-01,9950.6
2005-01-01,9929.9
2005-02-01,9973.8
2005-03-01,9989.7
2005-04-01,10054.6
2005-05-01,10040.9
2005-06-01,10129.2
2005-07-01,10202.0
2005-08-01,10156.7
2005-09-01,10116.8
2005-10-01,10144.0
2005-11-01,10174.0
2005-12-01,10213.7
2006-01-01,10266.7
2006-02-01,10288.1
2006-03-01,10309.8
2006-04-01,10328.1
2006-05-01,10345.4
2006-06-01,10351.1
2006-07-01,10409.6
2006-08-01,10375.0
2006-09-01,10439.3
2006-10-01,10484.5
2006-11-01,10488.2
2006-12-01,10549.0
2007-01-01,10569.9
2007-02-01,10567.2
2007-03-01,10579.1
2007-04-01,10589.2
2007-05-01,10604.8
2007-06-01,10605.3
2007-07-01,10637.6
2007-08-01,10682.5
2007-09-01,10691.5
2007-10-01,10699.9
2007-11-01,10722.3
2007-12-01,10715.5
2008-01-01,10713.7
2008-02-01,10676.6
2008-03-01,10703.3
2008-04-01,10720.7
2008-05-01,10740.6
2008-06-01,10720.8
2008-07-01,10669.1
2008-08-01,10667.9
2008-09-01,10597.0
2008-10-01,10580.7
2008-11-01,10548.3
2008-12-01,10517.6
2009-01-01,10565.4
2009-02-01,10522.2
2009-03-01,10478.7
2009-04-01,10463.0
2009-05-01,10472.6
2009-06-01,10475.5
2009-07-01,10510.4
2009-08-01,10604.9
2009-09-01,10507.1
2009-10-01,10518.9
2009-11-01,10502.2
2009-12-01,10566.4
2010-01-01,10547.0
2010-02-01,10586.5
2010-03-01,10637.1
2010-04-01,10658.8
2010-05-01,10685.3
2010-06-01,10711.3
2010-07-01,10740.7
2010-08-01,10766.6
2010-09-01,10776.8
2010-10-01,10804.2
2010-11-01,10831.7
2010-12-01,10846.0
2011-01-01,10858.2
2011-02-01,10855.2
2011-03-01,10892.7
2011-04-01,10879.8
2011-05-01,10867.3
2011-06-01,10892.5
2011-07-01,10911.4
2011-08-01,10904.8
2011-09-01,10922.8
2011-10-01,10942.5
2011-11-01,10924.1
2011-12-01,10929.0
2012-01-01,10971.2
2012-02-01,11037.6
2012-03-01,11023.2
2012-04-01,11033.4
2012-05-01,11034.1
2012-06-01,11022.6
2012-07-01,11045.7
2012-08-01,11047.9
2012-09-01,11063.5
2012-10-01,11062.7
2012-11-01,11110.9
2012-12-01,11115.5
2013-01-01,11158.1
2013-02-01,11153.4
2013-03-01,11155.0
2013-04-01,11154.2
2013-05-01,11182.3
2013-06-01,11181.4
2013-07-01,11195.4
2013-08-01,11207.9
2013-09-01,11239.9
2013-10-01,11271.4
2013-11-01,11318.7
2013-12-01,11322.9
2014-01-01,11287.0
2014-02-01,11350.3
2014-03-01,11405.6
2014-04-01,11424.5
2014-05-01,11444.9
2014-06-01,11489.7
2014-07-01,11512.3
2014-08-01,11590.9
2014-09-01,11593.8
2014-10-01,11665.2
2014-11-01,11696.3
2014-12-01,11723.2
2015-01-01,11747.2
2015-02-01,11773.3
2015-03-01,11798.4
2015-04-01,11826.4
2015-05-01,11859.5
2015-06-01,11872.0
2015-07-01,11917.6
2015-08-01,11948.3
2015-09-01,11963.2
2015-10-01,11970.7
2015-11-01,11997.4
2015-12-01,12041.4
2016-01-01,12053.8
2016-02-01,12133.3
2016-03-01,12086.4
2016-04-01,12122.9
2016-05-01,12141.9
2016-06-01,12193.1
2016-07-01,12206.2
2016-08-01,12216.0
2016-09-01,12249.3
2016-10-01,12242.7
2016-11-01,12262.4
2016-12-01,12344.1
2017-01-01,12347.6
2017-02-01,12355.4
2017-03-01,12413.8
2017-04-01,12416.5
2017-05-01,12420.9
2017-06-01,12452.8
2017-07-01,12470.1
2017-08-01,12483.5
2017-09-01,12547.7
2017-10-01,12555.2
2017-11-01,12627.6
2017-12-01,12713.2
2018-01-01,12687.7
2018-02-01,12696.1
2018-03-01,12739.1
2018-04-01,12786.0
2018-05-01,12821.0
2018-06-01,12842.2
2018-07-01,12878.0
2018-08-01,12918.1
2018-09-01,12905.7
2018-10-01,12960.5
2018-11-01,13014.0
2018-12-01,12892.0
2019-01-01,12948.5
2019-02-01,12948.2
2019-03-01,13028.8
2019-04-01,13055.6
2019-05-01,13086.5
2019-06-01,13124.2
2019-07-01,13161.9
2019-08-01,13199.4
2019-09-01,13215.4
2019-10-01,13223.1
2019-11-01,13266.6
2019-12-01,13257.2
2020-01-01,13307.3
2020-02-01,13313.2
2020-03-01,12422.9
2020-04-01,10910.6
2020-05-01,11833.0
2020-06-01,12525.6
2020-07-01,12706.4
2020-08-01,12793.5
2020-09-01,12962.5
2020-10-01,13015.6
2020-11-01,12943.5
2020-12-01,12824.6
2021-01-01,13201.3
2021-02-01,13025.4
2021-03-01,13621.3
2021-04-01,13684.0
2021-05-01,13616.2
2021-06-01,13696.6
2021-07-01,13653.8
2021-08-01,13753.5
2021-09-01,13789.9
2021-10-01,13891.0
2021-11-01,13879.9
2021-12-01,13684.1
2022-01-01,13975.4
2022-02-01,13924.0
