DATE,CPIAUCSL_PC1
1983-01-01,3.70763
1983-02-01,3.48469
1983-03-01,3.59029
1983-04-01,4.00000
1983-05-01,3.44108
1983-06-01,2.47423
1983-07-01,2.35897
1983-08-01,2.45650
1983-09-01,2.76356
1983-10-01,2.75229
1983-11-01,3.16327
1983-12-01,3.78710
1984-01-01,4.29009
1984-02-01,4.69388
1984-03-01,4.89297
1984-04-01,4.55466
1984-05-01,4.33468
1984-06-01,4.32596
1984-07-01,4.30862
1984-08-01,4.29570
1984-09-01,4.28287
1984-10-01,4.26587
1984-11-01,4.15430
1984-12-01,4.04339
1985-01-01,3.52595
1985-02-01,3.60624
1985-03-01,3.79009
1985-04-01,3.58180
1985-05-01,3.57488
1985-06-01,3.66442
1985-07-01,3.45821
1985-08-01,3.35249
1985-09-01,3.24737
1985-10-01,3.23501
1985-11-01,3.51377
1985-12-01,3.79147
1986-01-01,3.97351
1986-02-01,3.19849
1986-03-01,2.15356
1986-04-01,1.58879
1986-05-01,1.67910
1986-06-01,1.76744
1986-07-01,1.67131
1986-08-01,1.57553
1986-09-01,1.75763
1986-10-01,1.56682
1986-11-01,1.28440
1986-12-01,1.18721
1987-01-01,1.36488
1987-02-01,1.91431
1987-03-01,2.84143
1987-04-01,3.67985
1987-05-01,3.66972
1987-06-01,3.74771
1987-07-01,3.92694
1987-08-01,4.28832
1987-09-01,4.27273
1987-10-01,4.35572
1987-11-01,4.52899
1987-12-01,4.33213
1988-01-01,4.12926
1988-02-01,3.93560
1988-03-01,3.83244
1988-04-01,3.99290
1988-05-01,3.98230
1988-06-01,3.96476
1988-07-01,4.13005
1988-08-01,4.11199
1988-09-01,4.18483
1988-10-01,4.26087
1988-11-01,4.24610
1988-12-01,4.41176
1989-01-01,4.48276
1989-02-01,4.64716
1989-03-01,4.89270
1989-04-01,5.03413
1989-05-01,5.27660
1989-06-01,5.16949
1989-07-01,5.06329
1989-08-01,4.62185
1989-09-01,4.43515
1989-10-01,4.58716
1989-11-01,4.65503
1989-12-01,4.63960
1990-01-01,5.19802
1990-02-01,5.26316
1990-03-01,5.23732
1990-04-01,4.71162
1990-05-01,4.36540
1990-06-01,4.67365
1990-07-01,4.81928
1990-08-01,5.70281
1990-09-01,6.16987
1990-10-01,6.37959
1990-11-01,6.19539
1990-12-01,6.25495
1991-01-01,5.64706
1991-02-01,5.31250
1991-03-01,4.82115
1991-04-01,4.80993
1991-05-01,5.03486
1991-06-01,4.69592
1991-07-01,4.36782
1991-08-01,3.79939
1991-09-01,3.39623
1991-10-01,2.84858
1991-11-01,3.06657
1991-12-01,2.98063
1992-01-01,2.67261
1992-02-01,2.81899
1992-03-01,3.18991
1992-04-01,3.18283
1992-05-01,3.02360
1992-06-01,3.01471
1992-07-01,3.15712
1992-08-01,3.07467
1992-09-01,2.99270
1992-10-01,3.27988
1992-11-01,3.12046
1992-12-01,2.96671
1993-01-01,3.25380
1993-02-01,3.24675
1993-03-01,3.01941
1993-04-01,3.15638
1993-05-01,3.22119
1993-06-01,2.99786
1993-07-01,2.84698
1993-08-01,2.84091
