DATE,CUSR0000SETA02,CPIFABSL,CPIENGSL,CUSR0000SETG01,CUSR0000SAH1,CUSR0000SEHA,CPIMEDSL,CPIHOSSL,CPIAPPSL
1947-01-01,.,.,.,.,.,.,13.200,.,38.400
1947-02-01,.,.,.,.,.,.,13.300,.,38.800
1947-03-01,.,.,.,.,.,.,13.300,.,39.400
1947-04-01,.,.,.,.,.,.,13.400,.,39.700
1947-05-01,.,.,.,.,.,.,13.500,.,39.800
1947-06-01,.,.,.,.,.,.,13.500,.,40.000
1947-07-01,.,.,.,.,.,.,13.500,.,40.000
1947-08-01,.,.,.,.,.,.,13.600,.,40.100
1947-09-01,.,.,.,.,.,.,13.700,.,40.200
1947-10-01,.,.,.,.,.,.,13.800,.,40.400
1947-11-01,.,.,.,.,.,.,13.800,.,40.600
1947-12-01,.,.,.,.,.,.,13.900,.,41.000
1948-01-01,.,.,.,.,.,.,14.000,.,41.300
1948-02-01,.,.,.,.,.,.,14.000,.,41.800
1948-03-01,.,.,.,.,.,.,14.100,.,42.000
1948-04-01,.,.,.,.,.,.,14.300,.,42.100
1948-05-01,.,.,.,.,.,.,14.300,.,42.500
1948-06-01,.,.,.,.,.,.,14.400,.,42.400
1948-07-01,.,.,.,.,.,.,14.500,.,42.700
1948-08-01,.,.,.,.,.,.,14.600,.,43.100
1948-09-01,.,.,.,.,.,.,14.500,.,43.100
1948-10-01,.,.,.,.,.,.,14.600,.,43.100
1948-11-01,.,.,.,.,.,.,14.700,.,43.000
1948-12-01,.,.,.,.,.,.,14.700,.,43.000
1949-01-01,.,.,.,.,.,.,14.700,.,42.200
1949-02-01,.,.,.,.,.,.,14.800,.,41.800
1949-03-01,.,.,.,.,.,.,14.800,.,41.600
1949-04-01,.,.,.,.,.,.,14.800,.,41.300
1949-05-01,.,.,.,.,.,.,14.800,.,41.100
1949-06-01,.,.,.,.,.,.,14.800,.,41.000
1949-07-01,.,.,.,.,.,.,14.800,.,40.800
1949-08-01,.,.,.,.,.,.,14.900,.,40.500
1949-09-01,.,.,.,.,.,.,14.900,.,40.200
1949-10-01,.,.,.,.,.,.,14.900,.,39.900
1949-11-01,.,.,.,.,.,.,14.900,.,39.800
1949-12-01,.,.,.,.,.,.,14.900,.,39.800
1950-01-01,.,.,.,.,.,.,14.900,.,39.700
1950-02-01,.,.,.,.,.,.,15.000,.,39.700
1950-03-01,.,.,.,.,.,.,14.900,.,39.700
1950-04-01,.,.,.,.,.,.,15.000,.,39.700
1950-05-01,.,.,.,.,.,.,15.000,.,39.700
1950-06-01,.,.,.,.,.,.,15.000,.,39.700
1950-07-01,.,.,.,.,.,.,15.100,.,39.900
1950-08-01,.,.,.,.,.,.,15.100,.,40.100
1950-09-01,.,.,.,.,.,.,15.200,.,40.600
1950-10-01,.,.,.,.,.,.,15.300,.,41.200
1950-11-01,.,.,.,.,.,.,15.300,.,41.500
1950-12-01,.,.,.,.,.,.,15.400,.,41.900
1951-01-01,.,.,.,.,.,.,15.400,.,42.600
1951-02-01,.,.,.,.,.,.,15.500,.,43.300
1951-03-01,.,.,.,.,.,.,15.700,.,43.500
1951-04-01,.,.,.,.,.,.,15.700,.,43.800
1951-05-01,.,.,.,.,.,.,15.800,.,43.900
1951-06-01,.,.,.,.,.,.,15.800,.,43.900
1951-07-01,.,.,.,.,.,.,15.800,.,44.000
1951-08-01,.,.,.,.,.,.,15.900,.,44.000
1951-09-01,.,.,.,.,.,.,15.900,.,44.800
1951-10-01,.,.,.,.,.,.,16.000,.,44.700
1951-11-01,.,.,.,.,.,.,16.100,.,44.400
1951-12-01,.,.,.,.,.,.,16.300,.,44.300
1952-01-01,.,.,.,.,.,.,16.300,.,43.900
1952-02-01,.,.,.,.,.,.,16.400,.,43.900
1952-03-01,.,.,.,.,.,.,16.500,.,43.700
1952-04-01,.,.,.,.,.,.,16.500,.,43.600
1952-05-01,.,.,.,.,.,.,16.500,.,43.600
1952-06-01,.,.,.,.,.,.,16.800,.,43.500
1952-07-01,.,.,.,.,.,.,16.900,.,43.500
1952-08-01,.,.,.,.,.,.,16.900,.,43.400
1952-09-01,.,.,.,.,.,.,16.900,.,43.300
1952-10-01,.,.,.,.,.,.,16.900,.,43.100
1952-11-01,.,.,.,.,.,.,16.900,.,43.000
1952-12-01,.,.,.,.,.,.,17.000,.,43.000
1953-01-01,28.700,.,.,.,21.700,.,17.000,.,43.000
1953-02-01,28.700,.,.,.,21.800,.,17.000,.,43.000
1953-03-01,28.400,.,.,.,21.800,.,17.000,.,43.000
1953-04-01,28.300,.,.,.,21.900,.,17.100,.,43.100
1953-05-01,27.500,.,.,.,21.900,.,17.200,.,43.200
1953-06-01,26.900,.,.,.,21.900,.,17.300,.,43.300
1953-07-01,26.500,.,.,.,22.000,.,17.300,.,43.300
1953-08-01,26.000,.,.,.,22.000,.,17.400,.,43.200
1953-09-01,25.500,.,.,.,22.100,.,17.500,.,43.200
1953-10-01,25.200,.,.,.,22.200,.,17.500,.,43.200
1953-11-01,24.800,.,.,.,22.200,.,17.600,.,43.300
1953-12-01,24.700,.,.,.,22.300,.,17.600,.,43.200
1954-01-01,24.200,.,.,.,22.300,.,17.600,.,43.300
1954-02-01,23.500,.,.,.,22.300,.,17.700,.,43.200
1954-03-01,23.100,.,.,.,22.400,.,17.700,.,43.000
1954-04-01,22.900,.,.,.,22.400,.,17.800,.,43.000
1954-05-01,22.700,.,.,.,22.500,.,17.800,.,43.100
1954-06-01,22.800,.,.,.,22.500,.,17.800,.,43.200
1954-07-01,22.600,.,.,.,22.500,.,17.800,.,43.100
1954-08-01,22.500,.,.,.,22.500,.,17.900,.,43.000
1954-09-01,22.400,.,.,.,22.600,.,17.900,.,42.900
1954-10-01,22.200,.,.,.,22.600,.,17.900,.,42.900
1954-11-01,22.100,.,.,.,22.600,.,18.000,.,42.900
1954-12-01,21.900,.,.,.,22.700,.,18.000,.,42.900
1955-01-01,22.400,.,.,.,22.700,.,18.000,.,42.800
1955-02-01,22.400,.,.,.,22.700,.,18.100,.,42.800
1955-03-01,22.400,.,.,.,22.700,.,18.100,.,42.700
1955-04-01,21.300,.,.,.,22.700,.,18.100,.,42.800
1955-05-01,21.700,.,.,.,22.700,.,18.200,.,42.800
1955-06-01,21.700,.,.,.,22.700,.,18.200,.,42.800
1955-07-01,21.500,.,.,.,22.700,.,18.200,.,42.800
1955-08-01,21.200,.,.,.,22.800,.,18.300,.,42.900
1955-09-01,21.200,.,.,.,22.800,.,18.300,.,43.000
1955-10-01,20.900,.,.,.,22.900,.,18.400,.,43.000
1955-11-01,20.800,.,.,.,22.900,.,18.500,.,43.000
1955-12-01,20.500,.,.,.,22.900,.,18.600,.,43.100
1956-01-01,20.100,.,.,.,22.900,.,18.600,.,43.200
1956-02-01,20.500,.,.,.,22.900,.,18.700,.,43.500
1956-03-01,20.000,.,.,.,22.900,.,18.700,.,43.500
1956-04-01,20.000,.,.,.,22.900,.,18.800,.,43.600
1956-05-01,20.600,.,.,.,22.900,.,18.800,.,43.600
1956-06-01,20.200,.,.,.,23.100,.,18.800,.,43.600
1956-07-01,20.500,.,.,.,23.200,.,18.900,.,43.800
1956-08-01,20.800,.,.,.,23.300,.,19.000,.,43.900
1956-09-01,20.800,.,.,.,23.300,.,19.100,.,44.000
1956-10-01,21.400,.,.,.,23.300,.,19.100,.,44.000
1956-11-01,21.500,.,.,.,23.300,.,19.100,.,44.100
1956-12-01,21.700,.,.,.,23.500,.,19.200,.,44.300
1957-01-01,22.300,.,21.3,.,23.500,.,19.300,.,44.300
1957-02-01,22.300,.,21.4,.,23.700,.,19.300,.,44.300
1957-03-01,23.100,.,21.5,.,23.800,.,19.400,.,44.500
1957-04-01,23.200,.,21.6,.,23.900,.,19.500,.,44.400
1957-05-01,23.300,.,21.6,.,23.900,.,19.600,.,44.500
1957-06-01,23.200,.,21.6,.,23.900,.,19.700,.,44.500
1957-07-01,23.100,.,21.5,.,24.000,.,19.700,.,44.500
1957-08-01,23.300,.,21.4,.,24.000,.,19.800,.,44.600
1957-09-01,23.400,.,21.4,.,24.100,.,19.800,.,44.500
1957-10-01,23.500,.,21.4,.,24.200,.,19.900,.,44.600
1957-11-01,23.700,.,21.5,.,24.200,.,20.000,.,44.700
1957-12-01,23.500,.,21.5,.,24.300,.,20.100,.,44.600
1958-01-01,23.200,.,21.6,.,24.300,.,20.200,.,44.800
1958-02-01,23.300,.,21.3,.,24.400,.,20.200,.,44.700
1958-03-01,23.100,.,21.4,.,24.400,.,20.300,.,44.700
1958-04-01,23.300,.,21.4,.,24.500,.,20.400,.,44.700
1958-05-01,23.500,.,21.5,.,24.600,.,20.500,.,44.700
1958-06-01,23.400,.,21.5,.,24.500,.,20.600,.,44.800
1958-07-01,23.900,.,21.6,.,24.500,.,20.700,.,44.700
1958-08-01,24.100,.,21.7,.,24.500,.,20.700,.,44.700
1958-09-01,24.700,.,21.7,.,24.500,.,20.900,.,44.500
1958-10-01,24.900,.,21.7,.,24.400,.,21.000,.,44.500
1958-11-01,25.200,.,21.4,.,24.500,.,21.000,.,44.700
1958-12-01,25.600,.,21.4,.,24.500,.,21.100,.,44.700
1959-01-01,25.900,.,21.4,.,24.500,.,21.100,.,44.800
1959-02-01,26.100,.,21.6,.,24.500,.,21.200,.,44.700
1959-03-01,26.400,.,21.7,.,24.600,.,21.300,.,44.700
1959-04-01,26.600,.,21.8,.,24.600,.,21.300,.,44.800
1959-05-01,26.600,.,21.8,.,24.700,.,21.400,.,44.900
1959-06-01,26.800,.,21.9,.,24.700,.,21.500,.,45.000
1959-07-01,27.300,.,21.8,.,24.700,.,21.500,.,45.100
