"","date","cpi","fed_funds"
"1","1948-01-01","10.24209","."
"2","1948-02-01","9.48196","."
"3","1948-03-01","6.81818","."
"4","1948-04-01","8.27273","."
"5","1948-05-01","9.38497","."
"6","1948-06-01","9.37500","."
"7","1948-07-01","9.76158","."
"8","1948-08-01","9.06250","."
"9","1948-09-01","6.65499","."
"10","1948-10-01","6.11087","."
"11","1948-11-01","4.77016","."
"12","1948-12-01","2.73387","."
"13","1949-01-01","1.39358","."
"14","1949-02-01","1.01394","."
"15","1949-03-01","1.74468","."
"16","1949-04-01","0.41982","."
"17","1949-05-01","-0.41649","."
"18","1949-06-01","-0.95238","."
"19","1949-07-01","-2.86885","."
"20","1949-08-01","-2.98813","."
"21","1949-09-01","-2.50411","."
"22","1949-10-01","-2.63266","."
"23","1949-11-01","-1.90397","."
"24","1949-12-01","-1.82952","."
"25","1950-01-01","-2.08247","."
"26","1950-02-01","-1.25471","."
"27","1950-03-01","-1.12923","."
"28","1950-04-01","-1.12876","."
"29","1950-05-01","-0.58553","."
"30","1950-06-01","-0.16722","."
"31","1950-07-01","1.56118","."
"32","1950-08-01","2.10970","."
"33","1950-09-01","2.48421","."
"34","1950-10-01","3.50655","."
"35","1950-11-01","3.79747","."
"36","1950-12-01","5.80263","."
"37","1951-01-01","7.95406","."
"38","1951-02-01","9.40280","."
"39","1951-03-01","9.47547","."
"40","1951-04-01","9.59831","."
"41","1951-05-01","9.33950","."
"42","1951-06-01","8.58459","."
"43","1951-07-01","7.64437","."
"44","1951-08-01","6.85950","."
"45","1951-09-01","6.94330","."
"46","1951-10-01","6.77551","."
"47","1951-11-01","6.99187","."
"48","1951-12-01","5.96477","."
"49","1952-01-01","4.21592","."
"50","1952-02-01","2.24545","."
"51","1952-03-01","1.97063","."
"52","1952-04-01","2.08333","."
"53","1952-05-01","1.84686","."
"54","1952-06-01","2.31392","."
"55","1952-07-01","2.97183","."
"56","1952-08-01","3.20959","."
"57","1952-09-01","2.30503","."
"58","1952-10-01","2.02599","."
"59","1952-11-01","1.40578","."
"60","1952-12-01","0.90669","."
"61","1953-01-01","0.71834","."
"62","1953-02-01","0.68156","."
"63","1953-03-01","0.90944","."
"64","1953-04-01","0.86924","."
"65","1953-05-01","0.86891","."
"66","1953-06-01","0.90464","."
"67","1953-07-01","0.41229","."
"68","1953-08-01","0.59948","."
"69","1953-09-01","0.97634","."
"70","1953-10-01","0.97415","."
"71","1953-11-01","0.59948","."
"72","1953-12-01","0.59903","."
"73","1954-01-01","1.12613","."
"74","1954-02-01","1.50432","."
"75","1954-03-01","1.12655","."
"76","1954-04-01","0.63694","."
"77","1954-05-01","0.86142","."
"78","1954-06-01","0.63504","."
"79","1954-07-01","0.26129","0.80"
"80","1954-08-01","0.00000","1.22"
"81","1954-09-01","-0.29751","1.07"
